id,interests,graduated_courses,on_progress_courses,events_attended,challenge_joined,winning_apps
378698,,,"Belajar Membangun LINE Chatbot,Memulai Pemrograman Dengan Kotlin","Baparekraf Developer Day 2020,Membuat Model Machine Learning tanpa Coding,Tren Pengembangan Aplikasi Android di 2021,Kesalahan Umum Ketika Belajar Pemrograman dengan Python",,
378701,,"Belajar Membuat Aplikasi Android untuk Pemula,Belajar Prinsip Pemrograman SOLID","Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Memulai Pemrograman Dengan Kotlin","Android Developer Day,Melihat Local Database di Android secara Live",,
378704,,,Belajar Fundamental Aplikasi Android,,,
378707,,,Belajar Membuat Aplikasi Android untuk Pemula,,,
378710,,Belajar Membuat Aplikasi Android untuk Pemula,"Belajar Fundamental Aplikasi Android,Belajar Membuat Aplikasi Kognitif,Belajar Membuat Game untuk Pemula,Membangun Progressive Web Apps,Memulai Pemrograman Dengan Java,Memulai Pemrograman Dengan Kotlin,Memulai Pemrograman Dengan Python,Menjadi AWS Solutions Architect Associate,Menjadi Azure Cloud Developer,Menjadi Construct 2 Developer Expert,Menjadi Flutter Developer Expert (2019),Menjadi Game Developer Expert,Pengantar Teknologi Blockchain,Source Code Management untuk Pemula",,,
378713,,,,,,
378716,,,,,,
378719,,,"Cloud Practitioner Essentials (Belajar Dasar AWS Cloud),Meniti Karier sebagai Software Developer",Baparekraf Developer Day 2022,,
378722,,,,Lintasarta Digischool 2020 Virtual Graduation Day,,
378725,,,,,,
378728,,,"Belajar Dasar Pemrograman JavaScript,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",Baparekraf Developer Day 2021,,
378731,,,,,,
378734,,,,,,
378737,,,,,,
378740,,,,,,
378743,,,Belajar Membangun LINE Chatbot,,,
378746,,,"Belajar Dasar Google Cloud,Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)",,,
378749,,,,,,
378752,,,,,,
378755,,,,,,
378758,,,Menjadi Azure Cloud Developer,,,
378761,,,,,,
378764,,,Belajar Fundamental Aplikasi Android,,,
378767,,Belajar Dasar-Dasar Azure Cloud,Memulai Pemrograman Dengan Java,Android Developer Day,,
378770,,,,Android Developer Day,,
